	tweet	pattern	annotation	via	undecidable	toplevel	comment	adjudicated_by
43	t329760047217385472	61	False	gold	False	False		vanessa
44	t329760047217385472	65	False	gold	False	False		vanessa
45	t429350944669577216	23	True	gold-impl-pos	False	False	from 23: 	merlin
46	t429350944669577216	24	True	gold-impl-pos	False	False	from 24: 	merlin
47	t429350944669577216	57	True	gold	False			merlin
48	t436707296551251968	3	False	gold	False			auto-neg-adjudicator
49	t436707296551251968	46	False	gold-impl-neg	False	False	from 3: 	auto-neg-adjudicator
50	t436707296551251968	55	False	gold-impl-neg	False	False	from 3: 	auto-neg-adjudicator
51	t436707296551251968	65	False	gold-impl-neg	False	False	from 3: 	auto-neg-adjudicator
52	t445566031114022912	3	True	gold	False	False		merlin
53	t445566031114022912	46	False	gold	False	False		vanessa
54	t445566031114022912	55	False	gold	False	False		vanessa
55	t445566031114022912	65	False	gold	False	False		vanessa
56	t446250643322568705	23	True	gold	False	False		merlin
57	t446250643322568705	24	False	gold	False			nathan
58	t446250643322568705	26	False	gold-impl-neg	False	False	from 24: 	nathan
59	t446250643322568705	57	False	gold-impl-neg	False	False	from 24: 	nathan
60	t446250643322568705	60	False	gold-impl-neg	False	False	from 24: 	nathan
61	t446250643322568705	61	False	gold-impl-neg	False	False	from 24: 	nathan
62	t446250643322568705	62	False	gold-impl-neg	False	False	from 24: 	nathan
63	t446250643322568705	63	False	gold-impl-neg	False	False	from 24: 	nathan
64	t446250643322568705	65	False	gold-impl-neg	False	False	from 24: 	nathan
65	t465209499281014784	23	True	gold-impl-pos	False	False	from 23: 	merlin
66	t465209499281014784	23	True	gold-impl-pos	False	False	from 23: 	vanessa
67	t465209499281014784	24	True	gold	False			merlin
68	t465209499281014784	24	True	gold-impl-pos	False	False	from 24: 	vanessa
69	t465209499281014784	26	False	gold	False	False		vanessa
70	t465209499281014784	57	False	gold	False	False		vanessa
71	t465209499281014784	61	True	gold	False			vanessa
72	t465209499281014784	65	False	gold	False	False		vanessa
73	t468850395901874177	23	False	gold	False	False		merlin
74	t468850395901874177	24	False	gold-impl-neg	False	False	from 23: 	merlin
75	t468850395901874177	26	False	gold-impl-neg	False	False	from 23: 	merlin
76	t468850395901874177	57	False	gold-impl-neg	False	False	from 23: 	merlin
77	t468850395901874177	60	False	gold-impl-neg	False	False	from 23: 	merlin
78	t468850395901874177	61	False	gold-impl-neg	False	False	from 23: 	merlin
79	t468850395901874177	62	False	gold-impl-neg	False	False	from 23: 	merlin
80	t468850395901874177	63	False	gold-impl-neg	False	False	from 23: 	merlin
81	t468850395901874177	65	False	gold-impl-neg	False	False	from 23: 	merlin
82	t469524685009727488	23	True	gold-impl-pos	False	False	from 23: 	nathan
83	t469524685009727488	24	True	gold	False			nathan
84	t469524685009727488	26	False	gold	False	False		vanessa
85	t469524685009727488	61	False	gold	False	False		vanessa
86	t469524685009727488	65	False	gold	False	False		vanessa
87	t478780567173881856	23	True	gold-impl-pos	False	False	from 23: 	meliha
88	t478780567173881856	24	True	gold	False	False		meliha
89	t478780567173881856	26	False	gold	False	False		vanessa
90	t478780567173881856	57	False	gold	False	False		vanessa
91	t478780567173881856	61	False	gold	False	False		vanessa
92	t478780567173881856	65	False	gold	False	False		vanessa
93	t483556866799067137	3	True	gold	False	False		nathan
94	t483556866799067137	3	True	gold-impl-pos	False	False	from 3: 	vanessa
95	t483556866799067137	23	True	gold-impl-pos	False	False	from 23: 	vanessa
96	t483556866799067137	24	True	gold-impl-pos	False	False	from 24: 	vanessa
97	t483556866799067137	46	False	gold	False	False		vanessa
98	t483556866799067137	55	False	gold	False	False		vanessa
99	t483556866799067137	65	True	gold	False			vanessa
100	t486650054342500353	24	False	gold	False			nathan
101	t486650054342500353	26	False	gold-impl-neg	False	False	from 24: 	nathan
102	t486650054342500353	57	False	gold-impl-neg	False	False	from 24: 	nathan
103	t486650054342500353	60	False	gold-impl-neg	False	False	from 24: 	nathan
104	t486650054342500353	61	False	gold-impl-neg	False	False	from 24: 	nathan
105	t486650054342500353	62	False	gold-impl-neg	False	False	from 24: 	nathan
106	t486650054342500353	63	False	gold-impl-neg	False	False	from 24: 	nathan
107	t486650054342500353	65	False	gold-impl-neg	False	False	from 24: 	nathan
108	t497806590050062336	3	True	gold	False	False		merlin
109	t497806590050062336	46	False	gold	False	False		vanessa
110	t497806590050062336	55	False	gold	False	False		vanessa
111	t497806590050062336	65	False	gold	False	False		vanessa
112	t500313731185012737	24	False	gold	False			nathan
113	t500313731185012737	26	False	gold-impl-neg	False	False	from 24: 	nathan
114	t500313731185012737	57	False	gold-impl-neg	False	False	from 24: 	nathan
115	t500313731185012737	60	False	gold-impl-neg	False	False	from 24: 	nathan
116	t500313731185012737	61	False	gold-impl-neg	False	False	from 24: 	nathan
117	t500313731185012737	62	False	gold-impl-neg	False	False	from 24: 	nathan
118	t500313731185012737	63	False	gold-impl-neg	False	False	from 24: 	nathan
119	t500313731185012737	65	False	gold-impl-neg	False	False	from 24: 	nathan
120	t508663714359152640	23	True	gold-impl-pos	False	False	from 23: 	nathan
121	t508663714359152640	24	True	gold	False			nathan
122	t508663714359152640	26	False	gold	False	False		vanessa
123	t508663714359152640	57	False	gold	False	False		vanessa
124	t508663714359152640	61	False	gold	False	False		vanessa
125	t519589329803280384	23	True	gold-impl-pos	False	False	from 23: 	merlin
126	t519589329803280384	24	True	gold-impl-pos	False	False	from 24: 	merlin
127	t519589329803280384	57	True	gold	False			merlin
128	t524409388459499520	24	False	gold	False			nathan
129	t524409388459499520	26	False	gold-impl-neg	False	False	from 24: 	nathan
130	t524409388459499520	57	False	gold-impl-neg	False	False	from 24: 	nathan
131	t524409388459499520	60	False	gold-impl-neg	False	False	from 24: 	nathan
132	t524409388459499520	61	False	gold-impl-neg	False	False	from 24: 	nathan
133	t524409388459499520	62	False	gold-impl-neg	False	False	from 24: 	nathan
134	t524409388459499520	63	False	gold-impl-neg	False	False	from 24: 	nathan
135	t524409388459499520	65	False	gold-impl-neg	False	False	from 24: 	nathan
136	t530531918698520576	23	True	gold-impl-pos	False	False	from 23: 	nathan
137	t530531918698520576	24	True	gold	False			nathan
138	t530868195679563776	3	True	gold	False	False		merlin
139	t530868195679563776	46	False	gold	False	False		vanessa
140	t530868195679563776	55	False	gold	False	False		vanessa
141	t530868195679563776	65	False	gold	False	False		vanessa
142	t534415108320288769	3	True	gold	False	False		merlin
143	t534415108320288769	46	False	gold	False	False		vanessa
144	t534415108320288769	55	False	gold	False	False		vanessa
145	t534415108320288769	65	False	gold	False	False		vanessa
146	t536890009337733120	3	True	gold	False	False		merlin
147	t536890009337733120	46	False	gold	False	False		vanessa
148	t536890009337733120	55	False	gold	False	False		vanessa
149	t536890009337733120	65	False	gold	False	False		vanessa
150	t537260773949849600	23	True	gold-impl-pos	False	False	from 23: 	merlin
151	t537260773949849600	24	True	gold	False			merlin
152	t537260773949849600	24	True	gold-impl-pos	False	False	from 24: 	merlin
153	t537260773949849600	57	True	gold	False			merlin
154	t540536787417169920	23	True	gold-impl-pos	False	False	from 23: 	merlin
155	t540536787417169920	24	True	gold-impl-pos	False	False	from 24: 	merlin
156	t540536787417169920	57	True	gold	False			merlin
157	t558278331444232192	23	True	gold-impl-pos	False	False	from 23: 	nathan
158	t558278331444232192	24	True	gold	False			nathan
159	t560428431138369536	24	False	gold	False			nathan
160	t560428431138369536	26	False	gold-impl-neg	False	False	from 24: 	nathan
161	t560428431138369536	57	False	gold-impl-neg	False	False	from 24: 	nathan
162	t560428431138369536	60	False	gold-impl-neg	False	False	from 24: 	nathan
163	t560428431138369536	61	False	gold-impl-neg	False	False	from 24: 	nathan
164	t560428431138369536	62	False	gold-impl-neg	False	False	from 24: 	nathan
165	t560428431138369536	63	False	gold-impl-neg	False	False	from 24: 	nathan
166	t560428431138369536	65	False	gold-impl-neg	False	False	from 24: 	nathan
167	t564566345723830274	23	True	gold-impl-pos	False	False	from 23: 	nathan
168	t564566345723830274	24	True	gold	False			nathan
169	t565501108152725504	23	True	gold-impl-pos	False	False	from 23: 	merlin
170	t565501108152725504	23	True	gold-impl-pos	False	False	from 23: 	philipp
171	t565501108152725504	24	True	gold	False			philipp
172	t565501108152725504	24	True	gold-impl-pos	False	False	from 24: 	merlin
173	t565501108152725504	57	True	gold	False	False		merlin
174	t574887735544180736	23	True	gold-impl-pos	False	False	from 23: 	merlin
175	t574887735544180736	24	True	gold-impl-pos	False	False	from 24: 	merlin
176	t574887735544180736	57	True	gold	False			merlin
177	t580874888660983809	24	False	gold	False			philipp
178	t580874888660983809	26	False	gold-impl-neg	False	False	from 24: 	philipp
179	t580874888660983809	57	False	gold-impl-neg	False	False	from 24: 	philipp
180	t580874888660983809	60	False	gold-impl-neg	False	False	from 24: 	philipp
181	t580874888660983809	61	False	gold-impl-neg	False	False	from 24: 	philipp
182	t580874888660983809	62	False	gold-impl-neg	False	False	from 24: 	philipp
183	t580874888660983809	63	False	gold-impl-neg	False	False	from 24: 	philipp
184	t580874888660983809	65	False	gold-impl-neg	False	False	from 24: 	philipp
185	t590670678438871041	23	True	gold-impl-pos	False	False	from 23: 	merlin
186	t590670678438871041	24	True	gold-impl-pos	False	False	from 24: 	merlin
187	t590670678438871041	57	True	gold	False			merlin
188	t591007861389549568	23	True	gold-impl-pos	False	False	from 23: 	merlin
189	t591007861389549568	24	True	gold	False			merlin
190	t593916687310823424	0	False	gold	False			merlin
191	t593916687310823424	6	False	gold	False			nathan
192	t593916687310823424	11	True	gold	False			merlin
193	t593916687310823424	16	False	gold-impl-neg	False	False	from 0: 	merlin
194	t593916687310823424	19	False	gold-impl-neg	False	False	from 0: 	merlin
195	t593916687310823424	20	False	gold-impl-neg	False	False	from 0: 	merlin
196	t593916687310823424	24	False	gold	False			philipp
197	t593916687310823424	26	False	gold-impl-neg	False	False	from 24: 	philipp
198	t593916687310823424	28	False	gold-impl-neg	False	False	from 0: 	merlin
199	t593916687310823424	33	False	gold-impl-neg	False	False	from 0: 	merlin
200	t593916687310823424	37	False	gold-impl-neg	False	False	from 0: 	merlin
201	t593916687310823424	38	False	gold	False			merlin
202	t593916687310823424	38	False	gold-impl-neg	False	False	from 0: 	merlin
203	t593916687310823424	38	False	gold-impl-neg	False	False	from 45: 	philipp
204	t593916687310823424	41	False	gold-impl-neg	False	False	from 0: 	merlin
205	t593916687310823424	41	False	gold-impl-neg	False	False	from 38: 	merlin
206	t593916687310823424	41	False	gold-impl-neg	False	False	from 45: 	philipp
207	t593916687310823424	45	False	gold	False			philipp
208	t593916687310823424	48	False	gold-impl-neg	False	False	from 0: 	merlin
209	t593916687310823424	48	False	gold-impl-neg	False	False	from 6: 	nathan
210	t593916687310823424	49	False	gold-impl-neg	False	False	from 0: 	merlin
211	t593916687310823424	49	False	gold-impl-neg	False	False	from 6: 	nathan
212	t593916687310823424	50	False	gold-impl-neg	False	False	from 45: 	philipp
213	t593916687310823424	51	False	gold-impl-neg	False	False	from 6: 	nathan
214	t593916687310823424	57	False	gold-impl-neg	False	False	from 24: 	philipp
215	t593916687310823424	60	False	gold-impl-neg	False	False	from 24: 	philipp
216	t593916687310823424	61	False	gold-impl-neg	False	False	from 24: 	philipp
217	t593916687310823424	62	False	gold-impl-neg	False	False	from 24: 	philipp
218	t593916687310823424	63	False	gold-impl-neg	False	False	from 24: 	philipp
219	t593916687310823424	64	False	gold-impl-neg	False	False	from 0: 	merlin
220	t593916687310823424	65	False	gold-impl-neg	False	False	from 24: 	philipp
221	t594429976071507968	23	True	gold-impl-pos	False	False	from 23: 	meliha
222	t594429976071507968	24	True	gold	False	False		meliha
223	t597321199551717377	23	True	gold-impl-pos	False	False	from 23: 	merlin
224	t597321199551717377	24	True	gold-impl-pos	False	False	from 24: 	merlin
225	t597321199551717377	57	True	gold	False			merlin
226	t598180957577871360	23	True	gold-impl-pos	False	False	from 23: 	nathan
227	t598180957577871360	24	True	gold	False			nathan
228	t598769640769245184	23	True	gold-impl-pos	False	False	from 23: 	meliha
229	t598769640769245184	24	True	gold	False	False		meliha
230	t606415526764507136	23	True	gold-impl-pos	False	False	from 23: 	philipp
231	t606415526764507136	24	True	gold	False			philipp
232	t606606679581585408	3	True	gold	False	False		merlin
233	t606606679581585408	46	False	gold	False	False		vanessa
234	t606606679581585408	55	False	gold	False	False		vanessa
235	t606606679581585408	65	False	gold	False	False		vanessa
236	t608754918757785602	23	True	gold-impl-pos	False	False	from 23: 	merlin
237	t608754918757785602	24	True	gold-impl-pos	False	False	from 24: 	merlin
238	t608754918757785602	57	True	gold	False			merlin
239	t614054033704288256	23	True	gold-impl-pos	False	False	from 23: 	merlin
240	t614054033704288256	24	True	gold-impl-pos	False	False	from 24: 	merlin
241	t614054033704288256	57	True	gold	False			merlin
242	t614256126901780480	3	True	gold	False	False		meliha
243	t614256126901780480	46	False	gold	False	False		vanessa
244	t614256126901780480	55	False	gold	False	False		vanessa
245	t614256126901780480	65	False	gold	False	False		vanessa
246	t619171267610984448	3	True	gold	False	False		meliha
247	t619171267610984448	46	False	gold	False	False		vanessa
248	t619171267610984448	55	False	gold	False	False		vanessa
249	t619171267610984448	65	False	gold	False	False		vanessa
250	t619555767805419520	23	True	gold-impl-pos	False	False	from 23: 	nathan
251	t619555767805419520	24	True	gold	False			nathan
252	t619560743126597632	24	False	gold	False			merlin
253	t619560743126597632	26	False	gold-impl-neg	False	False	from 24: 	merlin
254	t619560743126597632	57	False	gold-impl-neg	False	False	from 24: 	merlin
255	t619560743126597632	60	False	gold-impl-neg	False	False	from 24: 	merlin
256	t619560743126597632	61	False	gold-impl-neg	False	False	from 24: 	merlin
257	t619560743126597632	62	False	gold-impl-neg	False	False	from 24: 	merlin
258	t619560743126597632	63	False	gold-impl-neg	False	False	from 24: 	merlin
259	t619560743126597632	65	False	gold-impl-neg	False	False	from 24: 	merlin
260	t622953799376838656	24	False	gold	False			auto-neg-adjudicator
261	t622953799376838656	26	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
262	t622953799376838656	57	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
263	t622953799376838656	60	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
264	t622953799376838656	61	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
265	t622953799376838656	62	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
266	t622953799376838656	63	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
267	t622953799376838656	65	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
268	t623322464509161472	3	True	gold	False	False		merlin
269	t623322464509161472	46	False	gold	False	False		vanessa
270	t623322464509161472	55	False	gold	False	False		vanessa
271	t623322464509161472	65	False	gold	False	False		vanessa
272	t623552406526296064	24	False	gold	False			merlin
273	t623552406526296064	26	False	gold-impl-neg	False	False	from 24: 	merlin
274	t623552406526296064	57	False	gold-impl-neg	False	False	from 24: 	merlin
275	t623552406526296064	60	False	gold-impl-neg	False	False	from 24: 	merlin
276	t623552406526296064	61	False	gold-impl-neg	False	False	from 24: 	merlin
277	t623552406526296064	62	False	gold-impl-neg	False	False	from 24: 	merlin
278	t623552406526296064	63	False	gold-impl-neg	False	False	from 24: 	merlin
279	t623552406526296064	65	False	gold-impl-neg	False	False	from 24: 	merlin
280	t625122514516226048	23	True	gold-impl-pos	False	False	from 23: 	merlin
281	t625122514516226048	23	True	gold-impl-pos	False	False	from 23: 	philipp
282	t625122514516226048	24	True	gold	False			philipp
283	t625122514516226048	24	True	gold-impl-pos	False	False	from 24: 	merlin
284	t625122514516226048	57	True	gold	False			merlin
285	t626446112963076096	23	True	gold-impl-pos	False	False	from 23: 	merlin
286	t626446112963076096	24	True	gold	False			merlin
287	t630170959459262464	24	False	gold	False			nathan
288	t630170959459262464	26	False	gold-impl-neg	False	False	from 24: 	nathan
289	t630170959459262464	57	False	gold-impl-neg	False	False	from 24: 	nathan
290	t630170959459262464	60	False	gold-impl-neg	False	False	from 24: 	nathan
291	t630170959459262464	61	False	gold-impl-neg	False	False	from 24: 	nathan
292	t630170959459262464	62	False	gold-impl-neg	False	False	from 24: 	nathan
293	t630170959459262464	63	False	gold-impl-neg	False	False	from 24: 	nathan
294	t630170959459262464	65	False	gold-impl-neg	False	False	from 24: 	nathan
295	t632999181632704512	3	True	gold	False	False		merlin
296	t632999181632704512	46	False	gold	False	False		vanessa
297	t632999181632704512	55	False	gold	False	False		vanessa
298	t632999181632704512	65	False	gold	False	False		vanessa
299	t633210314880905216	23	True	gold-impl-pos	False	False	from 23: 	nathan
300	t633210314880905216	24	True	gold	False			nathan
301	t635484794789457922	24	False	gold	False			philipp
302	t635484794789457922	26	False	gold-impl-neg	False	False	from 24: 	philipp
303	t635484794789457922	57	False	gold-impl-neg	False	False	from 24: 	philipp
304	t635484794789457922	60	False	gold-impl-neg	False	False	from 24: 	philipp
305	t635484794789457922	61	False	gold-impl-neg	False	False	from 24: 	philipp
306	t635484794789457922	62	False	gold-impl-neg	False	False	from 24: 	philipp
307	t635484794789457922	63	False	gold-impl-neg	False	False	from 24: 	philipp
308	t635484794789457922	65	False	gold-impl-neg	False	False	from 24: 	philipp
309	t639675531642859521	23	True	gold-impl-pos	False	False	from 23: 	merlin
310	t639675531642859521	24	True	gold-impl-pos	False	False	from 24: 	merlin
311	t639675531642859521	57	True	gold	False			merlin
312	t642061279365079040	23	True	gold-impl-pos	False	False	from 23: 	nathan
313	t642061279365079040	24	True	gold	False			nathan
314	t642984909980725248	23	True	gold-impl-pos	False	False	from 23: 	merlin
315	t642984909980725248	24	True	gold	False			merlin
316	t643466708469051392	23	True	gold-impl-pos	False	False	from 23: 	merlin
317	t643466708469051392	24	True	gold-impl-pos	False	False	from 24: 	merlin
318	t643466708469051392	57	True	gold	False			merlin
319	t644070841077121024	23	True	gold-impl-pos	False	False	from 23: 	merlin
320	t644070841077121024	24	True	gold	False			merlin
321	t645384128037322752	23	True	gold-impl-pos	False	False	from 23: 	nathan
322	t645384128037322752	24	True	gold	False			nathan
323	t650095302435840000	23	True	gold-impl-pos	False	False	from 23: 	merlin
324	t650095302435840000	24	True	gold-impl-pos	False	False	from 24: 	merlin
325	t650095302435840000	57	True	gold	False			merlin
326	t652819600812470272	23	True	gold-impl-pos	False	False	from 23: 	merlin
327	t652819600812470272	24	True	gold-impl-pos	False	False	from 24: 	merlin
328	t652819600812470272	57	True	gold	False			merlin
329	t653973906395693056	23	True	gold-impl-pos	False	False	from 23: 	merlin
330	t653973906395693056	24	True	gold	False			merlin
331	t654497575014301696	3	True	gold	False	False		nathan
332	t654497575014301696	46	False	gold	False	False		vanessa
333	t654497575014301696	55	False	gold	False	False		vanessa
334	t654497575014301696	65	False	gold	False	False		vanessa
335	t654504542529286144	3	True	gold	False	False		meliha
336	t654504542529286144	46	False	gold	False	False		vanessa
337	t654504542529286144	55	False	gold	False	False		vanessa
338	t654504542529286144	65	False	gold	False	False		vanessa
339	t656665794730991616	24	False	gold	False			nathan
340	t656665794730991616	26	False	gold-impl-neg	False	False	from 24: 	nathan
341	t656665794730991616	57	False	gold-impl-neg	False	False	from 24: 	nathan
342	t656665794730991616	60	False	gold-impl-neg	False	False	from 24: 	nathan
343	t656665794730991616	61	False	gold-impl-neg	False	False	from 24: 	nathan
344	t656665794730991616	62	False	gold-impl-neg	False	False	from 24: 	nathan
345	t656665794730991616	63	False	gold-impl-neg	False	False	from 24: 	nathan
346	t656665794730991616	65	False	gold-impl-neg	False	False	from 24: 	nathan
347	t658099580320522240	24	False	gold	False			nathan
348	t658099580320522240	26	False	gold-impl-neg	False	False	from 24: 	nathan
349	t658099580320522240	57	False	gold-impl-neg	False	False	from 24: 	nathan
350	t658099580320522240	60	False	gold-impl-neg	False	False	from 24: 	nathan
351	t658099580320522240	61	False	gold-impl-neg	False	False	from 24: 	nathan
352	t658099580320522240	62	False	gold-impl-neg	False	False	from 24: 	nathan
353	t658099580320522240	63	False	gold-impl-neg	False	False	from 24: 	nathan
354	t658099580320522240	65	False	gold-impl-neg	False	False	from 24: 	nathan
355	t659144555401490432	3	True	gold	False	False		meliha
356	t659144555401490432	46	False	gold	False	False		vanessa
357	t659144555401490432	55	False	gold	False	False		vanessa
358	t659144555401490432	65	False	gold	False	False		vanessa
359	t659513529909846016	3	True	gold	False	False		merlin
360	t659513529909846016	46	False	gold	False	False		vanessa
361	t659513529909846016	55	False	gold	False	False		vanessa
362	t659513529909846016	65	False	gold	False	False		vanessa
363	t660192465840943104	23	True	gold-impl-pos	False	False	from 23: 	philipp
364	t660192465840943104	24	True	gold	False			philipp
365	t662670598795976704	24	False	gold	False			nathan
366	t662670598795976704	26	False	gold-impl-neg	False	False	from 24: 	nathan
367	t662670598795976704	57	False	gold-impl-neg	False	False	from 24: 	nathan
368	t662670598795976704	60	False	gold-impl-neg	False	False	from 24: 	nathan
369	t662670598795976704	61	False	gold-impl-neg	False	False	from 24: 	nathan
370	t662670598795976704	62	False	gold-impl-neg	False	False	from 24: 	nathan
371	t662670598795976704	63	False	gold-impl-neg	False	False	from 24: 	nathan
372	t662670598795976704	65	False	gold-impl-neg	False	False	from 24: 	nathan
373	t667093619577397248	23	True	gold-impl-pos	False	False	from 23: 	merlin
374	t667093619577397248	24	True	gold-impl-pos	False	False	from 24: 	merlin
375	t667093619577397248	57	True	gold	False			merlin
376	t667773350056468480	23	True	gold-impl-pos	False	False	from 23: 	nathan
377	t667773350056468480	24	True	gold	False			nathan
378	t672779041598865409	23	True	gold-impl-pos	False	False	from 23: 	merlin
379	t672779041598865409	24	True	gold	False			merlin
380	t673812618893778944	24	False	gold	False			philipp
381	t673812618893778944	26	False	gold-impl-neg	False	False	from 24: 	philipp
382	t673812618893778944	57	False	gold-impl-neg	False	False	from 24: 	philipp
383	t673812618893778944	60	False	gold-impl-neg	False	False	from 24: 	philipp
384	t673812618893778944	61	False	gold-impl-neg	False	False	from 24: 	philipp
385	t673812618893778944	62	False	gold-impl-neg	False	False	from 24: 	philipp
386	t673812618893778944	63	False	gold-impl-neg	False	False	from 24: 	philipp
387	t673812618893778944	65	False	gold-impl-neg	False	False	from 24: 	philipp
388	t673843372013043712	24	False	gold	False			merlin
389	t673843372013043712	26	False	gold-impl-neg	False	False	from 24: 	merlin
390	t673843372013043712	57	False	gold-impl-neg	False	False	from 24: 	merlin
391	t673843372013043712	60	False	gold-impl-neg	False	False	from 24: 	merlin
392	t673843372013043712	61	False	gold-impl-neg	False	False	from 24: 	merlin
393	t673843372013043712	62	False	gold-impl-neg	False	False	from 24: 	merlin
394	t673843372013043712	63	False	gold-impl-neg	False	False	from 24: 	merlin
395	t673843372013043712	65	False	gold-impl-neg	False	False	from 24: 	merlin
396	t675933309990526977	3	True	gold	False	False		meliha
397	t675933309990526977	46	False	gold	False	False		vanessa
398	t675933309990526977	55	False	gold	False	False		vanessa
399	t675933309990526977	65	False	gold	False	False		vanessa
400	t677641830998155264	24	False	gold	False			philipp
401	t677641830998155264	26	False	gold-impl-neg	False	False	from 24: 	philipp
402	t677641830998155264	57	False	gold-impl-neg	False	False	from 24: 	philipp
403	t677641830998155264	60	False	gold-impl-neg	False	False	from 24: 	philipp
404	t677641830998155264	61	False	gold-impl-neg	False	False	from 24: 	philipp
405	t677641830998155264	62	False	gold-impl-neg	False	False	from 24: 	philipp
406	t677641830998155264	63	False	gold-impl-neg	False	False	from 24: 	philipp
407	t677641830998155264	65	False	gold-impl-neg	False	False	from 24: 	philipp
408	t678714892690440192	0	True	gold	False	False		merlin
409	t678911223908450304	23	True	gold-impl-pos	False	False	from 23: 	merlin
410	t678911223908450304	24	True	gold	False			merlin
411	t679459716372774912	3	True	gold	False	False		merlin
412	t679459716372774912	46	False	gold	False	False		vanessa
413	t679459716372774912	55	False	gold	False	False		vanessa
414	t679459716372774912	65	False	gold	False	False		vanessa
415	t680447996178378752	23	True	gold-impl-pos	False	False	from 23: 	nathan
416	t680447996178378752	24	True	gold	False			nathan
417	t681734370256924672	24	False	gold	False			auto-neg-adjudicator
418	t681734370256924672	26	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
419	t681734370256924672	57	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
420	t681734370256924672	60	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
421	t681734370256924672	61	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
422	t681734370256924672	62	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
423	t681734370256924672	63	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
424	t681734370256924672	65	False	gold-impl-neg	False	False	from 24: 	auto-neg-adjudicator
425	t683584286390353921	23	True	gold-impl-pos	False	False	from 23: 	meliha
426	t683584286390353921	24	True	gold	False	False		meliha
427	t684185055326023681	3	True	gold	False	False		meliha
428	t684185055326023681	46	False	gold	False	False		vanessa
429	t684185055326023681	55	False	gold	False	False		vanessa
430	t684185055326023681	65	False	gold	False	False		vanessa
431	t684359361628520449	3	True	gold	False	False		meliha
432	t684359361628520449	23	True	gold-impl-pos	False	False	from 23: 	meliha
433	t684359361628520449	24	True	gold	False	False		meliha
434	t684359361628520449	46	False	gold	False	False		vanessa
435	t684359361628520449	55	False	gold	False	False		vanessa
